Nazwa odbiorcy,Ulica,Miejscowość,Kod pocztowy,Kraj,Wymiary (cm),Waga (kg),Carrier,Metoda wysylki,Cena API,Waluta,Cena API (PLN),Cena cennik (PLN),Roznica (PLN)
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","DPD","Courier service","5.00","EUR","21.50","21.50","0.00"
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","Schenker","System","48.57","EUR","208.85","",""
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","Schenker","System Premium","65.57","EUR","281.95","",""
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","UPS Polska","UPS Express","70.01","PLN","70.01","70.01","0.00"
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","UPS Polska","UPS Express Saver","64.83","PLN","64.83","64.83","0.00"
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","UPS Polska","UPS Standard","39.46","PLN","39.46","39.46","0.00"
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","DHL Express","Express Worldwide","54.76","PLN","54.76","54.76","0.00"
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","DHL Express","Economy Select","89.44","PLN","89.44","89.44","0.00"
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","FedEx","International Priority","24.38","PLN","24.38","24.38","0.00"
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","FedEx","International Priority Freight","426.04","PLN","426.04","426.04","0.00"
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","FedEx","Regional Economy Freight","139.90","PLN","139.90","139.90","0.00"
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","FedEx","Regional Economy","21.80","PLN","21.80","21.80","0.00"
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","FedEx","International First®","1293.33","PLN","1293.33","1293.33","0.00"
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","FedEx","International Connect Plus","493.28","PLN","493.28","493.28","0.00"
"Odbiorca Berlin","Unter den Linden 77","Berlin","10117","DE","10x10x10","2","FedEx","International Priority Express","24.38","PLN","24.38","24.38","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","DPD","Courier service","7.50","EUR","32.25","32.25","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","Schenker","System","71.84","EUR","308.91","",""
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","Schenker","System Premium","96.98","EUR","417.01","",""
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","UPS Polska","UPS Express","75.71","PLN","75.71","75.71","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","UPS Polska","UPS Express Saver","70.11","PLN","70.11","70.11","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","UPS Polska","UPS Standard","47.89","PLN","47.89","47.89","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","DHL Express","Express Worldwide","56.32","PLN","56.32","56.32","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","DHL Express","Economy Select","93.79","PLN","93.79","93.79","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","FedEx","International Priority","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","FedEx","International Priority Freight","776.85","PLN","776.85","776.85","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","FedEx","Regional Economy Freight","174.11","PLN","174.11","174.11","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","FedEx","Regional Economy","22.15","PLN","22.15","22.15","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","FedEx","International First®","1395.33","PLN","1395.33","1395.33","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","FedEx","International Connect Plus","527.05","PLN","527.05","527.05","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","FedEx","International Priority Express","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","DPD","Courier service","14.00","EUR","60.20","60.20","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","Schenker","System Premium","101.07","EUR","434.60","",""
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","Schenker","System","74.87","EUR","321.94","",""
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","UPS Polska","UPS Express","80.95","PLN","80.95","80.95","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","UPS Polska","UPS Standard","48.10","PLN","48.10","48.10","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","International First®","1451.33","PLN","1451.33","1451.33","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","International Priority Express","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Cypr","Makarios Avenue 56","Nicosia","1071","CY","10x10x10","2","UPS Polska","UPS Express Saver","154.76","PLN","154.76","154.76","0.00"
"Odbiorca Cypr","Makarios Avenue 56","Nicosia","1071","CY","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","93.85","-21.97"
"Odbiorca Cypr","Makarios Avenue 56","Nicosia","1071","CY","10x10x10","2","FedEx","International Priority","36.57","PLN","36.57","42.51","-5.94"
"Odbiorca Cypr","Makarios Avenue 56","Nicosia","1071","CY","10x10x10","2","FedEx","International Economy","36.04","PLN","36.04","41.89","-5.85"
"Odbiorca Cypr","Makarios Avenue 56","Nicosia","1071","CY","10x10x10","2","FedEx","International Priority Freight","985.01","PLN","985.01","1145.07","-160.06"
"Odbiorca Cypr","Makarios Avenue 56","Nicosia","1071","CY","10x10x10","2","FedEx","International Connect Plus","718.51","PLN","718.51","952.03","-233.52"
